trip_type,pickup_cat,dropoff_cat,tod,day_type,sample_count,p75_total,p90_total,last_calculated
arrival,MCO Terminal,Other Hotel,night,weekday,1,,,2026-07-31 20:25:26
return,Residential,Airport Hotel,night,weekday,1,,,2026-02-13 17:50:14
other,Disney Resort,Residential,morning_rush,weekday,1,,,2026-07-31 20:25:24
other,MCO Terminal,Other Hotel,evening,weekday,1,,,2026-02-13 17:50:14
other,Disney Resort,Other,morning_rush,weekend,1,,,2026-07-31 20:25:27
cruise,Port Canaveral Area,Other,morning_rush,weekend,1,,,2026-07-31 20:25:27
cruise,MCO Terminal,Port Canaveral Area,night,weekend,1,,,2026-07-31 20:25:27
return,Universal Resort,Other,afternoon,weekday,1,,,2026-02-13 17:50:15
cruise,MCO Terminal,Port Canaveral Area,night,weekday,1,,,2026-07-31 20:25:25
return,Disney Resort,Other Hotel,evening,weekday,1,,,2026-02-13 17:50:15
return,Port Canaveral Area,MCO Terminal,morning_rush,weekend,1,,,2026-05-23 18:33:39
cruise,Universal Resort,Port Canaveral Area,morning_rush,weekend,1,,,2026-07-31 20:25:26
other,Residential,Universal Resort,morning_rush,weekend,1,,,2026-05-23 18:33:38
cruise,Port Canaveral Area,Other Hotel,morning_rush,weekend,1,,,2026-07-31 20:25:29
arrival,Disney Resort,Other,morning_rush,weekend,1,,,2026-02-13 17:50:15
other,Universal Resort,Residential,evening,weekend,1,,,2026-05-23 18:33:38
other,MCO Terminal,Airport Hotel,evening,weekend,1,,,2026-02-13 17:50:15
return,Universal Resort,SFB Terminal,early_morning,weekday,1,,,2026-05-23 18:33:38
cruise,Residential,Port Canaveral Area,midday,weekday,1,,,2026-02-16 06:09:29
cruise,Port Canaveral Area,Residential,morning_rush,weekday,1,,,2026-07-31 20:25:27
cruise,Residential,Port Canaveral Area,afternoon,weekday,1,,,2026-05-23 18:33:38
other,MCO Terminal,MCO Terminal,midday,weekday,1,,,2026-02-13 17:50:11
arrival,Other Hotel,Disney Resort,morning_rush,weekday,1,,,2026-02-13 17:50:16
other,Disney Resort,Residential,midday,weekend,1,,,2026-07-31 20:25:28
arrival,Other,Disney Resort,morning_rush,weekday,1,,,2026-05-23 18:33:32
other,Universal Resort,Residential,midday,weekend,1,,,2026-02-16 00:34:18
cruise,Port Canaveral Area,Universal Resort,midday,weekday,1,,,2026-02-16 00:34:18
arrival,SFB Terminal,Universal Resort,afternoon,weekday,1,,,2026-07-31 20:25:26
return,Other Hotel,MCO Terminal,night,weekend,1,,,2026-07-31 20:25:28
return,Universal Resort,SFB Terminal,midday,weekday,1,,,2026-05-23 18:33:32
other,Universal Resort,Other Hotel,evening,weekend,1,,,2026-07-31 20:25:27
return,Other,MCO Terminal,morning_rush,weekday,1,,,2026-07-31 20:25:27
return,Universal Resort,MCO Terminal,evening,weekend,1,,,2026-07-31 20:25:24
arrival,MCO Terminal,Other,night,weekend,1,,,2026-02-16 00:34:20
cruise,Port Canaveral Area,Other Hotel,midday,weekend,1,,,2026-02-16 00:34:21
return,Other Hotel,SFB Terminal,afternoon,weekday,1,,,2026-02-16 00:34:21
other,Residential,Disney Resort,evening,weekday,1,,,2026-05-23 18:33:32
other,Other Hotel,SFB Terminal,early_morning,weekend,1,,,2026-05-23 18:33:32
return,Residential,MCO Terminal,night,weekend,1,,,2026-05-23 18:33:32
other,Disney Resort,MCO Terminal,morning_rush,weekday,1,,,2026-07-31 20:25:27
cruise,Residential,Port Canaveral Area,morning_rush,weekend,1,,,2026-05-23 18:33:32
arrival,MCO Terminal,Residential,early_morning,weekday,1,,,2026-05-23 18:33:41
other,SFB Terminal,Residential,evening,weekday,1,,,2026-02-16 00:34:22
other,Residential,SFB Terminal,afternoon,weekend,1,,,2026-05-23 18:33:32
other,Universal Resort,Other Hotel,morning_rush,weekday,1,,,2026-05-23 18:33:32
other,Other,Disney Resort,morning_rush,weekday,1,,,2026-05-23 18:33:39
other,Disney Resort,Other Hotel,afternoon,weekend,1,,,2026-07-31 20:25:28
arrival,SFB Terminal,Universal Resort,afternoon,weekend,1,,,2026-05-23 18:33:33
other,Universal Resort,Other Hotel,midday,weekday,1,,,2026-07-31 20:25:27
other,Residential,Universal Resort,afternoon,weekday,1,,,2026-02-16 00:34:25
other,Disney Resort,Other,afternoon,weekday,1,,,2026-07-31 20:25:25
arrival,MCO Terminal,MCO Terminal,midday,weekday,1,,,2026-05-23 18:33:40
arrival,MCO Terminal,Other Hotel,early_morning,weekday,1,,,2026-07-31 20:25:28
arrival,MCO Terminal,Other,night,weekday,1,,,2026-05-23 18:33:38
return,MCO Terminal,MCO Terminal,morning_rush,weekday,1,,,2026-05-23 18:33:39
other,Residential,Disney Resort,morning_rush,weekend,1,,,2026-02-16 00:34:25
other,Disney Resort,Residential,evening,weekend,1,,,2026-05-23 18:33:40
other,Residential,Disney Resort,evening,weekend,1,,,2026-05-23 18:33:33
other,SFB Terminal,Disney Resort,midday,weekend,1,,,2026-02-16 06:09:28
other,SFB Terminal,Disney Resort,morning_rush,weekend,1,,,2026-02-16 00:34:25
